Date,House Price Index
Jan 2005,279.71
Feb 2005,278.37
Mar 2005,279.62
Apr 2005,278.72
May 2005,279.14
Jun 2005,280.35
Jul 2005,281.28
Aug 2005,284.88
Sep 2005,285.67
Oct 2005,286.54
Nov 2005,288.79
Dec 2005,290.63
Jan 2006,291.38
Feb 2006,294.72
Mar 2006,295.49
Apr 2006,299.95
May 2006,299.88
Jun 2006,298.98
Jul 2006,303.41
Aug 2006,306.06
Sep 2006,310.74
Oct 2006,315.26
Nov 2006,318.06
Dec 2006,318.41
Jan 2007,319.72
Feb 2007,325.84
Mar 2007,327.62
Apr 2007,330.69
May 2007,332.95
Jun 2007,334.47
Jul 2007,334.74
Aug 2007,335.19
Sep 2007,334.72
Oct 2007,334.03
Nov 2007,332.7
Dec 2007,333.09
Jan 2008,334.5
Feb 2008,329.57
Mar 2008,325.59
Apr 2008,323.66
May 2008,315.35
Jun 2008,308.62
Jul 2008,303.55
Aug 2008,298.31
Sep 2008,293.4
Oct 2008,285.94
Nov 2008,281.93
Dec 2008,278.14
Jan 2009,279
Feb 2009,274.11
Mar 2009,273.03
Apr 2009,273.68
May 2009,274.92
Jun 2009,276.66
Jul 2009,278.27
Aug 2009,282.04
Sep 2009,284.99
Oct 2009,288.38
Nov 2009,289
Dec 2009,291.79