Date,Interest Rate
Jan 2005,4.75
Feb 2005,4.75
Mar 2005,4.75
Apr 2005,4.75
May 2005,4.75
Jun 2005,4.75
Jul 2005,4.75
Aug 2005,4.5
Sep 2005,4.5
Oct 2005,4.5
Nov 2005,4.5
Dec 2005,4.5
Jan 2006,4.5
Feb 2006,4.5
Mar 2006,4.5
Apr 2006,4.5
May 2006,4.5
Jun 2006,4.5
Jul 2006,4.5
Aug 2006,4.75
Sep 2006,4.75
Oct 2006,4.75
Nov 2006,5
Dec 2006,5
Jan 2007,5.25
Feb 2007,5.25
Mar 2007,5.25
Apr 2007,5.25
May 2007,5.5
Jun 2007,5.5
Jul 2007,5.75
Aug 2007,5.75
Sep 2007,5.75
Oct 2007,5.75
Nov 2007,5.75
Dec 2007,5.5
Jan 2008,5.5
Feb 2008,5.25
Mar 2008,5.25
Apr 2008,5
May 2008,5
Jun 2008,5
Jul 2008,5
Aug 2008,5
Sep 2008,5
Oct 2008,4.5
Nov 2008,3
Dec 2008,2
Jan 2009,1.5
Feb 2009,1
Mar 2009,0.5
Apr 2009,0.5
May 2009,0.5
Jun 2009,0.5
Jul 2009,0.5
Aug 2009,0.5
Sep 2009,0.5
Oct 2009,0.5
Nov 2009,0.5
Dec 2009,0.5