Date ,GBP/USD
Jan 2021,1.3633
Feb 2021,1.387
Mar 2021,1.3859
Apr 2021,1.3842
May 2021,1.4091
Jun 2021,1.4027
Jul 2021,1.3807
Aug 2021,1.3799
Sep 2021,1.3733
Oct 2021,1.3696
Nov 2021,1.3448
Dec 2021,1.3301
Jan 2022,1.3561
Feb 2022,1.3538
Mar 2022,1.3173
Apr 2022,1.2917
May 2022,1.2443
Jun 2022,1.229
Jul 2022,1.1989
Aug 2022,1.1999
Sep 2022,1.1326
Oct 2022,1.1307
Nov 2022,1.1744
Dec 2022,1.2184
Jan 2023,1.2233
Feb 2023,1.2086
Mar 2023,1.2135
Apr 2023,1.2452
May 2023,1.2473
Jun 2023,1.2631
Jul 2023,1.2881
Aug 2023,1.2707
Sep 2023,1.2389
Oct 2023,1.2168
Nov 2023,1.243
Dec 2023,1.2653
Jan 2024,1.2701
Feb 2024,1.2622
Mar 2024,1.2716
Apr 2024,1.2512
May 2024,1.2634
Jun 2024,1.271
Jul 2024,1.2863
Aug 2024,1.2933
Sep 2024,1.3217
Oct 2024,1.3045
Nov 2024,1.275
Dec 2024,1.2647
Jan 2025,1.2348